Level,Subject,Useful,Notes,Knowlegeable,Speed
Postdoc,-,5,5,5,3
PhD,Bio Sciences,4,5,5,3
PhD,Bio Sciences,4,4,4,4
Staff,Bio Sciences,4,4,4,2
PhD,Developmental Biology,5,5,5,4
PhD,Computer Science,3,5,4,2
Postdoc,Health Sciences,5,4,4,3
Postdoc,Health Sciences,5,4,4,4
PhD,Maths,5,5,4,3
PhD,Earth Science,5,5,5,4
PhD,Health Sciences,4,4,4,3
PhD,Bio Sciences,5,5,4,4
PhD,Health Sciences,4,5,4,3
PhD,Biology,5,5,5,3
PhD,Bio Sciences,4,4,4,3
Postdoc,Health Sciences,5,5,4,3
PhD,Earth Science,5,5,5,3
PhD,Health Sciences,5,5,5,4
PhD,Earth Science,5,5,5,4
Masters,Biology,5,5,5,3
PhD,Health Sciences,5,4,5,3
